p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11
.36859623,.43081439,.021925261,.00025206467,0,0,0,0,0,0,0
.83275855,.10205102,.002577275,.000021235624,0,0,0,0,0,0,0
.92187303,.25710204,.018534297,.00095903157,.000029288107,0,0,0,0,0,0
.032270741,.00098971685,.000016856224,0,0,0,0,0,0,0,0
.34362662,.041145261,.0034592084,.000091822803,0,0,0,0,0,0,0
.76444477,.10288711,.0038326764,.000034986966,0,0,0,0,0,0,0
.49538589,.022875894,.00027319847,0,0,0,0,0,0,0,0
.49288112,.054888386,.0031577768,.00008350578,0,0,0,0,0,0,0
.46349487,.55939353,.096095271,.0051055439,.000057585741,0,0,0,0,0,0
.95562857,.252841,.028004559,.0018636091,.000056899662,0,0,0,0,0,0
.96901274,.24612723,.038697101,.0025707586,.00009036847,0,0,0,0,0,0
.2480462,.015561885,.00017959665,0,0,0,0,0,0,0,0
.8911978,.11615682,.0049455939,.000070193601,0,0,0,0,0,0,0
.61728889,.16801271,.026390364,.0047313371,.00014486788,.00002328721,0,0,0,0,0
.69403023,.69712204,.23440637,.036555815,.0066587836,.00083316088,.000075115262,0,0,0,0
.64489502,.091458037,.0057157446,.00018357976,0,0,0,0,0,0,0
.83466417,.37658843,.065501571,.0038636106,.00011915897,0,0,0,0,0,0
.78841823,.1990509,.027948957,.0011621639,.000076984368,0,0,0,0,0,0
.10817659,.81019634,.25845516,.016825356,.00046999054,0,0,0,0,0,0
.85397512,.025224432,.00016028257,0,0,0,0,0,0,0,0
.6363861,.44915658,.063732661,.0022487633,.00010651667,0,0,0,0,0,0
.97658002,.22372939,.022073919,.00075162359,0,0,0,0,0,0,0
.65674818,.25508177,.013902478,.00012218357,0,0,0,0,0,0,0
.84557348,.13812645,.011181977,.00025048701,0,0,0,0,0,0,0
.85862637,.28534716,.026006429,.0013645499,.000029352519,0,0,0,0,0,0
.38402987,.73242122,.14965619,.0070247329,.00015564483,0,0,0,0,0,0
.34514827,.028209619,.0022045565,.000062970299,0,0,0,0,0,0,0
.29647642,.031823792,.00069788413,.000024598752,0,0,0,0,0,0,0
.93858969,.33144882,.045369286,.0025618039,.00023192514,0,0,0,0,0,0
.56736732,.34981105,.02002392,.00053372636,0,0,0,0,0,0,0
.072469041,.67275381,.3080917,.015731549,.00023938307,0,0,0,0,0,0
.11513092,.37739056,.0018704357,0,0,0,0,0,0,0,0
.12900871,.014829076,.00076061737,.000050820239,0,0,0,0,0,0,0
.96568793,.13852826,.0027781329,.000057908703,0,0,0,0,0,0,0
.040161967,.32346144,.89843524,.18971583,.021796878,.00074769708,.0000407876,0,0,0,0
.4589549,.060368661,.0038051701,.00018631801,0,0,0,0,0,0,0
.3200857,.35068905,.0054968284,.000011621765,0,0,0,0,0,0,0
.63675451,.36955658,.024616085,.00040805031,0,0,0,0,0,0,0
.76981312,.40539721,.080224074,.0051309285,.00026158238,.000011944509,0,0,0,0,0
.47915527,.020792188,.00023482523,0,0,0,0,0,0,0,0
.30515492,.56796861,.038554419,.00092392642,0,0,0,0,0,0,0
.17554101,.97419751,.15236613,.0093007069,.00015027034,0,0,0,0,0,0
.99929094,.062851012,.00055427937,0,0,0,0,0,0,0,0
.58633059,.45090285,.050486561,.0014158601,.000031245207,0,0,0,0,0,0
.24566868,.78916198,.11394285,.0050792196,.00010419179,0,0,0,0,0,0
.67811334,.47982833,.064271443,.0056089624,.00007736712,0,0,0,0,0,0
