se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11
.2500107,.25152257,.2549912,.24243888,.24862225,.2473557,.25418839,.24235636,.23437217,.24133557,.2460078
.33834836,.33875585,.33811128,.33178967,.34428427,.34429419,.32247752,.34463084,.3311719,.31749648,.31152275
.34388533,.34206894,.33541706,.33308026,.34546855,.32369038,.33724147,.3216933,.30190402,.34265113,.31262106
.28819126,.28634471,.29082635,.28233421,.27535871,.28395751,.27981225,.28363484,.27645952,.28332409,.27568099
.25432307,.2551924,.25282809,.25165775,.25245464,.2380297,.24012242,.23672117,.25655812,.23933075,.25504491
.25991946,.25853637,.25138766,.26236176,.2602669,.25184366,.2566655,.25680682,.24492744,.26375982,.25781268
.23277584,.23678653,.23104343,.2289799,.2315418,.22014257,.23166978,.23626421,.22265856,.22514555,.21775754
.24536094,.24089399,.23898065,.24742706,.24226743,.23875858,.24288225,.23888673,.23205101,.23468256,.22323757
.36901879,.37041005,.36841407,.37947592,.35685936,.36061099,.36877817,.36977902,.37194046,.3845439,.38721988
.27299741,.27134705,.27019966,.26791164,.25915012,.27093217,.26165327,.26551342,.24390244,.27902094,.26519912
.19832845,.19527011,.19816484,.19755216,.18300353,.21238089,.20660007,.19218071,.21226206,.19635016,.18747632
.30249175,.30401266,.30421454,.30136764,.29901859,.2913695,.30209446,.29606396,.29063064,.30077061,.28821257
.42267248,.42190316,.4258413,.42165765,.41835275,.42753255,.41856384,.40910643,.41897681,.41335201,.41564843
.27433616,.27345768,.26732373,.27608275,.27193293,.27840778,.26317334,.27116761,.25284985,.27706298,.2770471
.21391769,.21215688,.21177883,.21998391,.21099234,.20537928,.22518854,.21256164,.2234229,.22686525,.24185316
.25193048,.25337797,.24823844,.2456857,.24724916,.26218745,.25201356,.24665442,.26329657,.24581812,.27792865
.22960944,.22887312,.23451534,.22737244,.23160379,.22837156,.22298414,.22046006,.22109601,.2256206,.21433403
.4037081,.40422103,.39751744,.39670777,.38463172,.42236501,.40592104,.40225741,.38040257,.3887493,.3797622
.38241407,.38045147,.38703898,.3721118,.37872317,.37624282,.37805438,.38563132,.33717549,.37055427,.36142588
.40898201,.40994492,.40552798,.39735386,.40802783,.39926437,.39032593,.41723073,.41085291,.37277758,.37613374
.1930739,.19564411,.19156763,.19356281,.18965486,.19252919,.1905583,.19320457,.18004589,.19208571,.1853566
.39297915,.38686129,.3846471,.39717051,.3780548,.37778431,.37609261,.39448628,.37674937,.39975241,.35977763
.32671738,.3261565,.32659182,.31447375,.32169342,.32593474,.3305639,.33843413,.31849846,.29866168,.30871686
